shopTitle,price,title,auction,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
鲁信数码手机店,4668.0,2023新款Apple/苹果 iPhone 15旗舰5G手机官网国行正品苹果15Pro,item.taobao.com/item.htm?id=738994761296&ns=1&abbucket=15#detail,738994761296,72,河南 郑州,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
年年通讯,6638.0,2023新款Apple/苹果 iPhone 15 Pro旗舰5G手机国行正品苹果15Pro,item.taobao.com/item.htm?id=738948362357&ns=1&abbucket=15#detail,738948362357,48,上海,1,0,1,0,1,A17 Pro 芯片,4800,20,,1,4800
纵横通讯高端机,6568.0,2023新款Apple/苹果 iPhone 15 Pro 苹果15Pro手机国行正品5G手机,item.taobao.com/item.htm?id=763069278209&ns=1&abbucket=15#detail,763069278209,0,上海,1,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
佳欣数码通讯,4999.0,2023新款Apple/苹果 iPhone 15官网官方正品旗舰新品苹果15手机,item.taobao.com/item.htm?id=682572478581&ns=1&abbucket=15#detail,682572478581,12,广东 深圳,1,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
8掌柜数码,4416.0,新款Apple/苹果 iPhone 15官方正品苹果15旗舰5G手机官网正品,item.taobao.com/item.htm?id=739265837341&ns=1&abbucket=15#detail,739265837341,60,四川 成都,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
开铭数码,5249.0,2023新款Apple/苹果 iPhone 15 Pro Max国行官方官网旗舰全网通5G,item.taobao.com/item.htm?id=774058429470&ns=1&abbucket=15#detail,774058429470,120,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
开铭数码,4349.0,2023新款Apple/苹果 iPhone 15 Pro 国行官方官网旗舰5G全网通6.1,item.taobao.com/item.htm?id=775144600678&ns=1&abbucket=15#detail,775144600678,24,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
长沙依林数码,4770.0,Apple/苹果 iPhone 15手机2023新款国行正品5G全网通苹果15,item.taobao.com/item.htm?id=739823292524&ns=1&abbucket=15#detail,739823292524,36,湖南 长沙,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
酷感数码通讯,5529.0,2023新款Apple/苹果 iPhone 15 Plus手机苹果15plus国行旗舰手机,item.taobao.com/item.htm?id=739551739497&ns=1&abbucket=15#detail,739551739497,24,重庆,1,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
鲁信数码手机店,6658.0,新品Apple/苹果 iPhone 15 Pro国行正品旗舰手机苹果15pro全网通,item.taobao.com/item.htm?id=739530051795&ns=1&abbucket=15#detail,739530051795,288,河南 郑州,1,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
